Original Price,Miles Driven,Mileage,Tank Size,HorsePower,Top Speed,Acceleration,Age,Manual Transmission,Fuel,Estimated Price
3864000,1263,54.685799131039985,13.336164215786448,596,180,8.172050031303229,4,False,Petrol,2258675.1905083833
4288000,752,35.24835745186758,19.057517818171412,419,185,8.740271332402004,3,True,Petrol,2859767.1602131724
2966000,4838,58.345710526978166,28.361993037796257,346,259,6.533210149603616,5,True,Diesel,1333505.8529000024
3428000,3140,34.65419588607872,24.024602160775654,354,243,6.0698082724442965,4,True,Diesel,2046536.1064438515
2079000,4048,32.048424476863424,17.98098726286242,473,216,7.744648132727498,2,False,Diesel,1204469.444243382
3862000,2354,45.17501730933966,15.56955381735201,486,207,12.113527127533315,2,False,Petrol,2489807.3141538105
1865000,2850,36.78070054097212,17.385417539702804,504,216,13.390917184201458,5,False,Petrol,663372.139445403
2718000,1102,15.175117579320903,19.60917132331729,471,259,7.308093317646633,4,False,Petrol,1726326.15962865
3540000,4971,37.6343314886728,26.486698935913424,579,195,5.298010545019478,3,False,Petrol,2273594.3126553954
2485000,3477,37.513531182561145,14.618980021147763,502,256,4.607905139256438,7,True,CNG,995528.1202991131
3934000,2162,18.773749807986857,18.180179119135257,297,193,7.158554864282673,2,True,Diesel,2789760.1068196045
3157000,1036,43.27511036720833,16.150938123707746,452,243,5.115186017058802,4,True,Petrol,1802062.1692539072
3760000,2303,59.82830561335609,29.06867406512417,289,200,10.929313211694788,7,True,Diesel,1722596.6429433736
2835000,2487,52.03491747938629,23.73524537659455,454,210,9.060357564135025,4,True,Petrol,1422630.322017464
2890000,1523,54.829752367765515,15.144454492386698,477,257,7.454455200332241,2,True,Petrol,1656742.2721859817
3533000,3869,56.680344721675475,25.699489681357765,450,264,4.92038013385889,8,True,Diesel,1544447.2166103143
3326000,3442,18.362588865382328,22.94798919048753,459,187,5.302062202218021,2,True,Petrol,2370848.531312773
3557000,4309,43.255583141721104,24.158402361767877,529,245,9.821705867135261,2,True,Petrol,2284492.808723662
1912000,3899,16.478659448112616,25.41416670667375,593,248,6.999114382505006,4,True,Diesel,1074838.728155112
4352000,786,49.76733902509057,15.384240090578611,286,217,12.240979215331807,8,False,EV,2203614.5216284036
3309000,1338,52.563054770727184,18.171063669927424,364,205,6.052667626298669,7,False,Diesel,1487190.5709024763
4223000,758,57.07129504471299,22.800229988245988,281,230,11.268068714460899,2,True,Diesel,2624067.1249775025
2194000,4670,45.95442499092573,22.913322598822134,496,214,9.16612577901589,8,True,CNG,537168.643853189
3220000,627,32.761115515484704,29.866979124965674,387,191,9.575235160275682,7,True,Diesel,1619730.5761766066
2820000,2291,59.48095191648112,12.476089498965926,278,217,6.8860504767270765,3,True,EV,1407000.77296181
4276000,2458,26.78611924451086,28.148399417675755,365,248,10.07280477840245,8,True,Diesel,2391142.8305997415
4418000,2523,50.87830492200549,28.684489696336616,353,249,8.91231886920464,3,True,EV,2794878.690900044
3264000,1449,57.85053384962452,13.05689918011013,590,205,4.823833324542264,6,False,Diesel,1563363.7589314715
4492000,3337,22.225966155824725,15.197827979373077,505,244,4.910668003165158,3,True,EV,3189857.084128776
2576000,4407,30.230679248573736,27.7325126994469,366,242,4.244842966507008,8,False,Petrol,1036194.8861878071
2298000,3976,37.41854408102844,13.507134420348981,372,249,7.414937736323389,2,False,Petrol,1298282.6660765405
1876000,2114,15.828511853617014,21.385649464452136,253,268,11.881327707956201,7,True,EV,657157.2845033814
2462000,2540,54.79605619834745,14.317381890639759,324,208,7.626256343097127,2,True,Petrol,1256268.0195581769
3801000,593,27.597458048786656,22.8834260775318,578,234,13.56226412050935,4,False,Petrol,2453437.8524891925
3886000,3983,37.755797432309066,18.96912547560016,294,236,12.3106069561077,4,False,Petrol,2311718.6539558764
3227000,2262,17.907140892665335,10.06813376520042,500,241,12.997090856564695,5,False,Petrol,1940823.074471339
2293000,3412,52.93999583870926,11.245430621821637,330,221,8.737696546953396,7,False,Petrol,616488.1296057157
4364000,2200,55.68307334880644,20.86658621839812,365,255,6.365099083386979,4,True,EV,2618444.437675327
2079000,1742,45.060886055864444,26.42927013209959,406,230,10.208213597932781,3,True,Petrol,977032.0538019902
2756000,1486,28.14711309651628,16.288810527463287,475,232,9.50585705237328,3,False,EV,1719761.5591157274
3897000,1666,33.05683458242932,23.01981448189918,281,207,4.112565028623291,5,True,Petrol,2359750.0778103014
2643000,3070,19.508434843980805,19.975335372328267,373,227,10.835991154981263,5,False,EV,1459181.4554340367
4189000,1618,15.698897558412595,23.111567500974637,493,203,13.6724216656398,5,True,Diesel,2742613.709566883
3791000,901,27.12126599779954,15.639673736431066,588,263,5.4003477918092635,3,True,CNG,2588799.5041546677
2064000,1771,21.31465895746138,25.083067405233358,278,251,11.93839467972184,6,True,EV,864853.5527103889
2672000,4152,19.36788997605251,24.044490209659795,589,208,8.332682862069444,7,True,Petrol,1346126.8210666717
2880000,4938,55.02346255040496,23.83504440463773,443,208,10.840414343482669,6,False,EV,1203478.831580776
3826000,2522,36.06348877230602,18.517919346322355,286,218,6.3613568217192356,2,True,EV,2557256.0034677526
1919000,1878,50.97495562105488,17.790093058919837,565,214,5.748814834755316,2,False,Diesel,944375.5916859006
2705000,1737,42.655537630828505,28.07770171960268,578,184,6.311060782023413,6,True,Diesel,1273715.0658706329
3256000,4352,19.711601811733086,15.12948746326849,478,192,4.614320155061019,8,True,Diesel,1682101.988142711
3501000,3095,22.479380551179734,28.24648123504208,581,181,7.725186552181182,2,False,Petrol,2499739.4337743125
4189000,3913,51.90496605514757,26.30515506141744,454,246,13.355418495388227,8,True,Diesel,2051340.0062598605
1830000,3674,52.235615117922045,28.507254855993715,557,227,10.431627542143303,4,False,EV,645471.9610038848
2684000,4760,30.94890109271265,10.821282124311008,582,228,6.557681448065615,6,True,Petrol,1324850.916354519
3946000,2698,21.636420499795868,15.218002333062945,361,233,5.483814795747323,6,True,Diesel,2392124.7011203133
2955000,4416,52.12565638691451,25.963365155116087,592,227,8.39874851952463,2,True,Petrol,1743195.2054925836
3853000,3948,25.05917520589382,14.686554490111313,342,246,6.824760516685412,2,True,Diesel,2655356.550005347
2792000,1929,34.559193254779615,18.028747321322385,593,205,12.906774637232207,6,True,CNG,1349222.1870452377
4177000,3394,29.780806063773568,18.0180767249577,261,244,9.194877731442464,3,True,Diesel,2733367.191211889
4052000,898,40.16769906662414,18.104401488972986,564,228,9.17270173948911,4,True,Diesel,2539164.6482447716
3130000,537,27.697350232643686,27.371526797469862,418,185,9.071797295261737,6,True,EV,1730015.253471979
4326000,1223,31.78780628400412,15.077104345907637,524,238,6.285436343451974,8,True,Petrol,2457994.1413732017
3781000,4230,16.550106421952872,24.197073464794776,445,198,13.415609478411783,5,False,Petrol,2377265.7768941345
3643000,4595,24.711949629779657,12.874066741865873,434,262,9.318725789671976,3,False,Petrol,2399488.816771984
3903000,1765,57.71221863112145,27.269204294900696,506,230,12.296595269208277,4,True,Petrol,2223413.3689212264
2200000,4250,16.61571401324903,16.663369169015223,486,191,4.125522832425467,3,False,Diesel,1377982.7210267351
1983000,2448,18.12845973192539,14.625827974213632,481,255,9.651696399463852,7,True,Petrol,767374.840943162
3321000,1817,30.33857008477558,28.213876969212926,589,203,8.360631440674904,3,False,Petrol,2185814.125007163
4071000,4116,50.52300571715192,15.422985608255754,486,209,10.503094935900666,2,True,Petrol,2595477.0004213005
2358000,2798,56.13594804221445,21.821856545609087,541,190,6.468106310150201,4,True,Petrol,1033898.6187927182
3186000,1906,15.912330389776537,23.772700513999304,470,213,11.15020485943995,4,False,EV,2070876.3758025095
4040000,3173,29.1885712626722,27.752369787986694,306,213,13.911535091890538,5,True,EV,2451340.1449465244
2135000,2125,45.25945902916338,29.651638045731193,474,248,12.571478737579385,7,True,Petrol,621940.770012593
4300000,3289,37.342858883573996,11.830282794143553,313,184,13.178257843910995,3,True,Diesel,2735042.9287511534
2465000,910,43.989856532049515,15.48539024334034,498,203,5.550344445847766,8,False,Petrol,848845.5397856848
3863000,1198,29.11923816590962,26.01310481107356,280,239,5.108340433832953,7,False,Petrol,2175580.3090382316
3687000,945,39.260937824706104,12.344659498400166,587,264,5.857151976292423,6,False,EV,2105443.6373177688
4137000,4415,56.25344696032333,17.580922381688527,424,233,5.624801905615651,6,True,Diesel,2204209.255346242
2890000,3279,39.872425588757224,12.856132978994284,424,234,12.02535240242616,7,True,Diesel,1219842.4821741015
3816000,3623,46.43787298150245,12.565619163744003,277,257,4.483528995575815,3,True,Diesel,2314625.0684553757
2402000,596,24.420772597238447,29.579059709293016,423,243,4.212759613830276,5,True,EV,1326483.8457692915
3199000,3497,50.932836733469486,13.050769628062977,481,249,8.291042853384766,6,True,Petrol,1512669.6345808252
2885000,2520,52.08846474975609,27.414738307348948,268,225,13.29740784206672,4,True,EV,1399047.3658012962
2442000,1614,44.13767457800122,17.186790768157927,312,244,4.886142024915131,5,True,Petrol,1083299.7178048084
3392000,3116,53.06617758531295,11.769745864734118,556,214,8.800401464082084,7,True,EV,1576956.6913691913
4074000,3369,54.896691213577064,27.621387943360954,480,181,5.723456294380258,2,True,Petrol,2615593.940555481
4191000,3838,18.895217455985225,11.63501310014883,385,211,4.956575013889694,5,False,Petrol,2716778.69043615
3647000,3075,23.649705254880388,26.660376074030616,266,199,8.339167514085599,8,False,Petrol,1908140.6123418943
3335000,3911,35.16820897944919,12.16485943286239,463,190,4.724758407133628,2,False,Diesel,2182089.450369866
2235000,3914,45.32706965757994,12.1769569240019,587,233,10.47062437387502,8,True,Petrol,610394.0599102785
3888000,3992,22.52977875655544,19.834313930348245,395,210,6.078785468078782,7,True,EV,2258987.9323595646
3199000,3869,45.14773594135129,20.622167855213053,262,264,7.564788132535822,6,True,Diesel,1510976.681406764
3346000,4708,54.23915194685175,18.698640361332018,318,199,8.96005513027596,7,True,Petrol,1439136.2660821916
4191000,4698,35.89364712064953,21.724768155914784,543,219,13.117599500527984,2,True,Petrol,2832834.3825415825
2034000,868,48.163200927306434,16.99657963434066,463,207,4.305113125130076,2,True,CNG,1047597.592071503
3310000,1895,38.09490072523486,29.7165199110555,384,193,7.613654386377171,5,True,EV,1860654.7762825843
4061000,3602,27.918545768020373,23.60660017734418,405,226,5.5328721035590736,4,True,Diesel,2633041.7307769163
3883000,4458,33.286416820518085,24.266668521682305,588,194,9.78770712456247,5,True,Petrol,2358427.924412662
3963000,1754,55.67440076189796,14.286979634360238,395,257,8.376593162351174,4,True,Petrol,2270985.5189692304
2896000,1016,39.94579909263163,24.296658646803117,341,207,11.231932749672591,8,True,EV,1174477.268237741
3923000,4872,40.26393442181782,13.867444608990088,555,254,4.4173615833504964,3,True,Petrol,2538476.243283007
3143000,2535,16.878119105118078,14.719034968047147,581,198,12.417812294997693,4,True,Petrol,2016087.8468723604
3923000,1026,22.331421696587224,18.702483572471618,297,244,12.34723088826872,7,False,Petrol,2227406.4102316904
4371000,1010,59.75701409025725,16.101225449514637,393,225,8.385436148989175,7,False,Petrol,2265435.124210793
3242000,2275,40.064497945149085,23.439977680803423,427,182,7.744382953604958,2,True,EV,2088679.3243336193
2063000,4319,43.122002284698496,12.36967133610526,290,237,9.604168722327938,8,False,Petrol,412448.0600157205
2579000,1085,37.96515974809044,24.360539124633586,311,224,12.777843171713416,7,True,EV,1018402.4023352164
3178000,4283,45.893102151831464,24.5915233374725,373,225,11.94454253686299,3,True,Petrol,1801456.7620105466
3216000,3743,20.076386062438353,25.133220911836638,346,186,13.613872455257585,4,True,Petrol,1969145.2287674583
3500000,2014,25.469636978613202,11.392501182028816,478,265,7.361734039890648,6,True,CNG,2006065.0304287227
2528000,3596,37.837700005918734,23.867101158018556,399,195,10.982248569424817,6,True,Petrol,1076315.3313900973
4168000,2451,56.04855368462139,23.378562192354586,474,203,9.323448375265984,7,False,EV,2165440.857161223
2528000,4632,38.59481709255924,28.133524546642896,428,207,13.549451912553629,2,False,Diesel,1441836.823471908
3153000,3930,40.437760799371375,18.522458689435613,578,180,13.35458556986665,8,False,Petrol,1369174.8099771214
